mc,mc_onset,timesig,label,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,progression_type_fine,annotation_dur,prog_weight,bigram_weight
1,0,4/4,g.i{,1,0.0,1.0,,,,,,
1,1/2,4/4,#viio6(2),6,0.5,1.0,5.0,A,WA_dia,0.5,0.625,
1,5/8,4/4,#viio6,6,0.625,1.0,0.0,I,I,0.125,0.25,0.875
1,3/4,4/4,V,2,0.75,1.0,-4.0,S,S_dia,0.125,0.375,0.625
2,0,4/4,V7,2,0.0,1.0,0.0,I,I,0.25,0.75,1.125
2,1/2,4/4,i},1,0.5,1.0,-1.0,S,S_dia,0.5,0.75,1.5
2,3/4,4/4,VI6,-3,0.75,1.0,-4.0,S,S_dia,0.25,0.5,1.25
3,0,4/4,v6(2),2,0.0,1.0,5.0,A,WA_dia,0.25,0.5,1.0
3,1/4,4/4,v6,2,0.25,1.0,0.0,I,I,0.25,0.375,0.875
3,3/8,4/4,V,2,0.375,1.0,0.0,I,I,0.125,0.25,0.625
3,1/2,4/4,iv6(2),0,0.5,1.0,-2.0,A,WA_dia,0.125,0.5625,0.8125
3,15/16,4/4,iv6,0,0.9375,1.0,0.0,I,I,0.4375,0.5,1.0625
4,0,4/4,V(4),2,0.0,1.0,2.0,A,WA_dia,0.0625,0.1875,0.6875
4,1/8,4/4,V,2,0.125,1.0,0.0,I,I,0.125,0.375,0.5625
4,3/8,4/4,V7,2,0.375,1.0,0.0,I,I,0.25,0.375,0.75
4,1/2,4/4,i,1,0.5,1.0,-1.0,S,S_dia,0.125,0.5,0.875
4,7/8,4/4,v.iv7,1,0.875,1.0,0.0,I,I,0.375,0.5,1.0
5,0,4/4,V6,3,0.0,1.0,2.0,A,WA_dia,0.125,0.375,0.875
5,1/4,4/4,i,2,0.25,1.0,-1.0,S,S_dia,0.25,0.5,0.875
5,1/2,4/4,bII6(2),-3,0.5,1.0,-5.0,A,WA_dia,0.25,0.375,0.875
5,5/8,4/4,bII6,-3,0.625,1.0,0.0,I,I,0.125,0.5,0.875
6,0,4/4,V2,3,0.0,1.0,6.0,S,S_chr,0.375,0.625,1.125
6,1/4,4/4,i6,2,0.25,1.0,-1.0,S,S_dia,0.25,0.5,1.125
6,1/2,4/4,#viio6(2),7,0.5,1.0,5.0,A,WA_dia,0.25,0.5,1.0
6,3/4,4/4,V43,3,0.75,1.0,-4.0,S,S_dia,0.25,0.5,1.0
7,0,4/4,i(4),2,0.0,1.0,-1.0,S,S_dia,0.25,0.5,1.0
7,1/4,4/4,i,2,0.25,1.0,0.0,I,I,0.25,0.375,0.875
7,3/8,4/4,v6,3,0.375,1.0,1.0,W,WA_dia,0.125,0.25,0.625
7,1/2,4/4,iv6(2),1,0.5,1.0,-2.0,A,WA_dia,0.125,0.25,0.5
7,5/8,4/4,iv6,1,0.625,1.0,0.0,I,I,0.125,0.25,0.5
7,3/4,4/4,iio64,4,0.75,1.0,3.0,S,S_dia,0.125,0.375,0.625
8,0,4/4,V7(4),3,0.0,1.0,-1.0,S,S_dia,0.25,0.375,0.75
8,1/8,4/4,V7,3,0.125,1.0,0.0,I,I,0.125,0.25,0.625
8,1/4,4/4,V(64),3,0.25,1.0,0.0,I,I,0.125,0.375,0.625
8,1/2,4/4,V(4),3,0.5,1.0,0.0,I,I,0.25,0.5,0.875
8,3/4,4/4,V,3,0.75,1.0,0.0,I,I,0.25,0.5,1.0
9,0,4/4,i},2,0.0,1.0,-1.0,S,S_dia,0.25,0.53125,1.03125
9,9/32,4/4,i.i6{,1,0.28125,1.0,-1.0,S,S_dia,0.28125,0.5,1.03125
9,1/2,4/4,#viio65,6,0.5,1.0,5.0,A,WA_dia,0.21875,0.71875,1.21875
10,0,4/4,i,1,0.0,1.0,-5.0,A,WA_dia,0.5,1.0,1.71875
10,1/2,4/4,V(4),2,0.5,1.0,1.0,W,WA_dia,0.5,0.625,1.625
10,5/8,4/4,V,2,0.625,1.0,0.0,I,I,0.125,0.25,0.875
10,3/4,4/4,iv.V7,1,0.75,1.0,-1.0,S,S_dia,0.125,0.375,0.625
11,0,4/4,i(9#7),0,0.0,1.0,-1.0,S,S_dia,0.25,0.375,0.75
11,1/8,4/4,i6,0,0.125,1.0,0.0,I,I,0.125,0.25,0.625
11,1/4,4/4,viio6/III,2,0.25,1.0,2.0,A,WA_dia,0.125,0.25,0.5
11,3/8,4/4,III6,-3,0.375,1.0,-5.0,A,WA_dia,0.125,0.25,0.5
11,1/2,4/4,V2/III,-2,0.5,1.0,1.0,W,WA_dia,0.125,0.375,0.625
11,3/4,4/4,V65/III,-2,0.75,1.0,0.0,I,I,0.25,0.5,0.875
12,0,4/4,III,-3,0.0,1.0,-1.0,S,S_dia,0.25,0.5,1.0
12,1/4,4/4,V7/IV/III,-3,0.25,1.0,0.0,I,I,0.25,0.5,1.0
12,1/2,4/4,IV/III,-4,0.5,1.0,-1.0,S,S_dia,0.25,0.375,0.875
12,5/8,4/4,ii6/III,-1,0.625,1.0,3.0,S,S_dia,0.125,0.25,0.625
12,3/4,4/4,V(4)/III,-2,0.75,1.0,-1.0,S,S_dia,0.125,0.25,0.5
12,7/8,4/4,V/III,-2,0.875,1.0,0.0,I,I,0.125,0.25,0.5
13,0,4/4,viio7/V/III},3,0.0,1.0,5.0,A,WA_dia,0.125,0.375,0.625
13,1/4,4/4,#viio7{,5,0.25,1.0,2.0,A,WA_dia,0.25,0.5,0.875
13,1/2,4/4,i6,0,0.5,1.0,-5.0,A,WA_dia,0.25,0.5,1.0
13,3/4,4/4,V,1,0.75,1.0,1.0,W,WA_dia,0.25,0.5,1.0
14,0,4/4,i}{,0,0.0,1.0,-1.0,S,S_dia,0.25,0.75,1.25
14,1/2,4/4,#viio6(2),5,0.5,1.0,5.0,A,WA_dia,0.5,0.625,1.375
14,5/8,4/4,#viio6,5,0.625,1.0,0.0,I,I,0.125,0.25,0.875
14,3/4,4/4,V,1,0.75,1.0,-4.0,S,S_dia,0.125,0.375,0.625
15,0,4/4,V7,1,0.0,1.0,0.0,I,I,0.25,0.75,1.125
15,1/2,4/4,i},0,0.5,1.0,-1.0,S,S_dia,0.5,0.75,1.5
15,3/4,4/4,VI6,-4,0.75,1.0,-4.0,S,S_dia,0.25,0.5,1.25
16,0,4/4,v65(2),1,0.0,1.0,5.0,A,WA_dia,0.25,0.5,1.0
16,1/4,4/4,v65,1,0.25,1.0,0.0,I,I,0.25,0.375,0.875
16,3/8,4/4,V,1,0.375,1.0,0.0,I,I,0.125,0.25,0.625
16,1/2,4/4,iv65(2),-1,0.5,1.0,-2.0,A,WA_dia,0.125,0.375,0.625
16,3/4,4/4,iv65,-1,0.75,1.0,0.0,I,I,0.25,0.5,0.875
17,0,4/4,V(4),1,0.0,1.0,2.0,A,WA_dia,0.25,0.375,0.875
17,1/8,4/4,V,1,0.125,1.0,0.0,I,I,0.125,0.25,0.625
17,1/4,4/4,V7,1,0.25,1.0,0.0,I,I,0.125,0.25,0.5
17,3/8,4/4,V65,1,0.375,1.0,0.0,I,I,0.125,0.25,0.5
17,1/2,4/4,i,0,0.5,1.0,-1.0,S,S_dia,0.125,0.625,0.875
18,0,4/4,i.#viio7,6,0.0,1.0,6.0,S,S_chr,0.5,0.75,1.375
18,1/4,4/4,i,1,0.25,1.0,-5.0,A,WA_dia,0.25,0.5,1.25
18,1/2,4/4,bII6(2),-4,0.5,1.0,-5.0,A,WA_dia,0.25,0.375,0.875
18,5/8,4/4,bII6,-4,0.625,1.0,0.0,I,I,0.125,0.5,0.875
19,0,4/4,V,2,0.0,1.0,6.0,S,S_chr,0.375,0.625,1.125
19,1/4,4/4,i6,1,0.25,1.0,-1.0,S,S_dia,0.25,0.5,1.125
19,1/2,4/4,#viio6(2),6,0.5,1.0,5.0,A,WA_dia,0.25,0.5,1.0
19,3/4,4/4,V43,2,0.75,1.0,-4.0,S,S_dia,0.25,0.5,1.0
20,0,4/4,i(4),1,0.0,1.0,-1.0,S,S_dia,0.25,0.5,1.0
20,1/4,4/4,i,1,0.25,1.0,0.0,I,I,0.25,0.5,1.0
20,1/2,4/4,bII6,-4,0.5,1.0,-5.0,A,WA_dia,0.25,0.75,1.25
21,0,4/4,V2(4),2,0.0,1.0,6.0,S,S_chr,0.5,0.625,1.375
21,1/8,4/4,V2,2,0.125,1.0,0.0,I,I,0.125,0.375,1.0
21,3/8,4/4,V65/V,3,0.375,1.0,1.0,W,WA_dia,0.25,0.375,0.75
21,1/2,4/4,V(4),2,0.5,1.0,-1.0,S,S_dia,0.125,0.5625,0.9375
21,15/16,4/4,V,2,0.9375,1.0,0.0,I,I,0.4375,0.5,1.0625
22,0,4/4,i},1,0.0,1.0,-1.0,S,S_dia,0.0625,,
