composer,piece,S,A,W
Mozart,K576-1_reviewed,0.40625,0.32142857142857145,0.27232142857142855
Mozart,K576-2_reviewed,0.4392523364485981,0.2897196261682243,0.27102803738317754
Mozart,K576-3_reviewed,0.4766355140186916,0.32398753894080995,0.19937694704049844
All,BWV806_01_Prelude_reviewed,0.5436241610738255,0.2751677852348993,0.18120805369127516
All,BWV806_02_Allemande_reviewed,0.6990291262135923,0.2524271844660194,0.04854368932038835
All,BWV806_03_Courante_I_reviewed,0.6153846153846154,0.24358974358974358,0.14102564102564102
All,BWV806_04_Courante_II_reviewed,0.55,0.35,0.1
All,BWV806_05_Double_I_reviewed,0.5176470588235295,0.3411764705882353,0.1411764705882353
All,BWV806_06_Double_II_reviewed,0.6463414634146342,0.21951219512195122,0.13414634146341464
All,BWV806_07_Sarabande_reviewed,0.6792452830188679,0.20754716981132076,0.11320754716981132
All,BWV806_08_Bouree_I_reviewed,0.5739130434782609,0.2,0.22608695652173913
All,BWV806_09_Bouree_II_reviewed,0.3978494623655914,0.3548387096774194,0.24731182795698925
All,BWV806_10_Gigue_reviewed,0.7211538461538461,0.16346153846153846,0.11538461538461539
All,BWV807_01_Prelude_reviewed,0.5009746588693957,0.34307992202729043,0.15594541910331383
All,BWV807_02_Allemande_reviewed,0.5769230769230769,0.27884615384615385,0.14423076923076922
All,BWV807_03_Courante_reviewed,0.5476190476190477,0.2857142857142857,0.16666666666666666
All,BWV807_04a_Agrements_de_la_Sarabande_reviewed,0.46296296296296297,0.3333333333333333,0.2037037037037037
All,BWV807_04_Sarabande_reviewed,0.33962264150943394,0.4339622641509434,0.22641509433962265
All,BWV807_05_Bourree_I_reviewed,0.6428571428571429,0.17346938775510204,0.1836734693877551
All,BWV807_06_Bourree_II_reviewed,0.6122448979591837,0.1836734693877551,0.20408163265306123
All,BWV807_07_Gigue_reviewed,0.7094017094017094,0.1623931623931624,0.1282051282051282
All,BWV808_01_Prelude_reviewed,0.6313868613138686,0.25547445255474455,0.11313868613138686
All,BWV808_02_Allemande_reviewed,0.6336633663366337,0.24752475247524752,0.1188118811881188
All,BWV808_03_Courante_reviewed,0.6410256410256411,0.20512820512820512,0.15384615384615385
All,BWV808_04a_Agrements_de_la_Sarabande_reviewed,0.5517241379310345,0.27586206896551724,0.1724137931034483
All,BWV808_04_Sarabande_reviewed,0.5517241379310345,0.27586206896551724,0.1724137931034483
All,BWV808_05_Gavotte_I_reviewed,0.425,0.425,0.15
All,BWV808_06_Gavotte_II_reviewed,0.1875,0.625,0.1875
All,BWV808_07_Gigue_reviewed,0.38461538461538464,0.4725274725274725,0.14285714285714285
All,BWV809_01_Prelude_reviewed,0.616822429906542,0.2803738317757009,0.102803738317757
All,BWV809_02_Allemande_reviewed,0.6794871794871795,0.28205128205128205,0.038461538461538464
All,BWV809_03_Courante_reviewed,0.62,0.24,0.14
All,BWV809_04_Sarabande_reviewed,0.627906976744186,0.2558139534883721,0.11627906976744186
All,BWV809_05_Menuett_I_reviewed,0.5254237288135594,0.3050847457627119,0.1694915254237288
All,BWV809_06_Menuett_II_reviewed,0.6779661016949152,0.2033898305084746,0.11864406779661017
All,BWV809_07_Gigue_reviewed,0.5985401459854015,0.2116788321167883,0.1897810218978102
All,BWV810_01_Prelude_reviewed,0.7793296089385475,0.1452513966480447,0.07541899441340782
All,BWV810_02_Allemande_reviewed,0.5961538461538461,0.3076923076923077,0.09615384615384616
All,BWV810_03_Courante_reviewed,0.578125,0.328125,0.09375
All,BWV810_04_Sarabande_reviewed,0.3974358974358974,0.3974358974358974,0.20512820512820512
All,BWV810_05_Passepied_I_reviewed,0.6176470588235294,0.2235294117647059,0.1588235294117647
All,BWV810_06_Passepied_II_reviewed,0.4,0.43636363636363634,0.16363636363636364
All,BWV810_07_Gigue_reviewed,0.5207100591715976,0.3076923076923077,0.17159763313609466
All,BWV811_01_Prelude_reviewed,0.6238185255198487,0.2722117202268431,0.10396975425330812
All,BWV811_02_Allemande_reviewed,0.625,0.275,0.1
All,BWV811_03_Courante_reviewed,0.5714285714285714,0.2773109243697479,0.15126050420168066
All,BWV811_04_Sarabande_reviewed,0.5957446808510638,0.2553191489361702,0.14893617021276595
All,BWV811_05_Double_reviewed,0.7021276595744681,0.2127659574468085,0.0851063829787234
All,BWV811_06_Gavotte_I_reviewed,0.6493506493506493,0.2077922077922078,0.14285714285714285
All,BWV811_07_Gavotte_II_reviewed,0.31666666666666665,0.4166666666666667,0.26666666666666666
All,BWV811_08_Gigue_reviewed,0.33663366336633666,0.48514851485148514,0.1782178217821782
All,BWV812_01_Allemande_reviewed,0.7596153846153846,0.18269230769230768,0.057692307692307696
All,BWV812_02_Courante_reviewed,0.7285714285714285,0.2,0.07142857142857142
All,BWV812_03_Sarabande_reviewed,0.5531914893617021,0.2553191489361702,0.19148936170212766
All,BWV812_04_Menuett_I_reviewed,0.5306122448979592,0.3673469387755102,0.10204081632653061
All,BWV812_05_Menuett_II_reviewed,0.8222222222222222,0.13333333333333333,0.044444444444444446
All,BWV812_06_Gigue_reviewed,0.6813186813186813,0.21978021978021978,0.0989010989010989
All,BWV813_01_Allemande_reviewed,0.6282051282051282,0.16666666666666666,0.20512820512820512
All,BWV813_02_Courante_reviewed,0.5151515151515151,0.3333333333333333,0.15151515151515152
All,BWV813_03_Sarabande_reviewed,0.5,0.38235294117647056,0.11764705882352941
All,BWV813_04_Air_reviewed,0.43037974683544306,0.31645569620253167,0.25316455696202533
All,BWV813_05_Menuett_reviewed,0.5178571428571429,0.3392857142857143,0.14285714285714285
All,BWV813_06_Gigue_reviewed,0.6702127659574468,0.18085106382978725,0.14893617021276595
All,BWV814_01_Allemande_reviewed,0.456,0.36,0.184
All,BWV814_02_Courante_reviewed,0.5308641975308642,0.2962962962962963,0.1728395061728395
All,BWV814_03_Sarabande_reviewed,0.3448275862068966,0.603448275862069,0.05172413793103448
All,BWV814_04_Gavotte_reviewed,0.4675324675324675,0.33766233766233766,0.19480519480519481
All,BWV814_05_Menuett_reviewed,0.6031746031746031,0.12698412698412698,0.2698412698412698
All,BWV814_06_Trio_reviewed,0.4117647058823529,0.49019607843137253,0.09803921568627451
All,BWV814_07_Gigue_reviewed,0.45864661654135336,0.37593984962406013,0.16541353383458646
All,BWV815_01_Allemande_reviewed,0.7066666666666667,0.12,0.17333333333333334
All,BWV815_02_Courante_reviewed,0.5614035087719298,0.2631578947368421,0.17543859649122806
All,BWV815_03_Sarabande_reviewed,0.6976744186046512,0.18604651162790697,0.11627906976744186
All,BWV815_04_Gavotte_reviewed,0.6571428571428571,0.17142857142857143,0.17142857142857143
All,BWV815_05_Air_reviewed,0.6290322580645161,0.25806451612903225,0.11290322580645161
All,BWV815_06_Menuett_reviewed,0.4117647058823529,0.38235294117647056,0.20588235294117646
All,BWV815_07_Gigue_reviewed,0.5454545454545454,0.26136363636363635,0.19318181818181818
All,BWV816_01_Allemande_reviewed,0.75,0.19,0.06
All,BWV816_02_Courante_reviewed,0.5818181818181818,0.3090909090909091,0.10909090909090909
All,BWV816_03_Sarabande_reviewed,0.6119402985074627,0.3283582089552239,0.05970149253731343
All,BWV816_04_Gavotte_reviewed,0.6,0.1,0.3
All,BWV816_05_Bourree_reviewed,0.6896551724137931,0.20689655172413793,0.10344827586206896
All,BWV816_06_Loure_reviewed,0.7209302325581395,0.2558139534883721,0.023255813953488372
All,BWV816_07_Gigue_reviewed,0.8110236220472441,0.08661417322834646,0.10236220472440945
All,BWV817_01_Allemande_reviewed,0.7183098591549296,0.2676056338028169,0.014084507042253521
All,BWV817_02_Courante_reviewed,0.7424242424242424,0.13636363636363635,0.12121212121212122
All,BWV817_03_Sarabande_reviewed,0.5625,0.2708333333333333,0.16666666666666666
All,BWV817_04_Gavotte_reviewed,0.575,0.25,0.175
All,BWV817_05_Polonaise_reviewed,0.5918367346938775,0.24489795918367346,0.16326530612244897
All,BWV817_06_Bourree_reviewed,0.726027397260274,0.136986301369863,0.136986301369863
All,BWV817_07_Gigue_reviewed,0.7021276595744681,0.19148936170212766,0.10638297872340426
All,BWV817_08_Menuett_reviewed,0.4642857142857143,0.32142857142857145,0.21428571428571427
All,BWV1001_01_Adagio_reviewed,0.5333333333333333,0.38333333333333336,0.08333333333333333
All,BWV1001_02_Fuga_reviewed,0.4525862068965517,0.4353448275862069,0.11206896551724138
All,BWV1001_03_Siciliano_reviewed,0.4880952380952381,0.35714285714285715,0.15476190476190477
All,BWV1001_04_Presto_reviewed,0.5964912280701754,0.24561403508771928,0.15789473684210525
All,BWV1002_01_Allemanda_reviewed,0.6219512195121951,0.23170731707317074,0.14634146341463414
All,BWV1002_02_Double_reviewed,0.5128205128205128,0.3333333333333333,0.15384615384615385
All,BWV1002_03_Corrente_reviewed,0.4857142857142857,0.37142857142857144,0.14285714285714285
All,BWV1002_04_Double_reviewed,0.4594594594594595,0.3153153153153153,0.22522522522522523
All,BWV1002_05_Sarabande_reviewed,0.5,0.4032258064516129,0.0967741935483871
All,BWV1002_06_Double_reviewed,0.4489795918367347,0.5102040816326531,0.04081632653061224
All,BWV1002_07_TempoDiBorea_reviewed,0.46153846153846156,0.358974358974359,0.1794871794871795
All,BWV1002_08_Double_reviewed,0.4186046511627907,0.3488372093023256,0.23255813953488372
All,BWV1003_01_Grave_reviewed,0.40789473684210525,0.3684210526315789,0.2236842105263158
All,BWV1003_02_Fuga_reviewed,0.4014778325123153,0.4211822660098522,0.17733990147783252
All,BWV1003_03_Andante_reviewed,0.6,0.2909090909090909,0.10909090909090909
All,BWV1003_04_Allegro_reviewed,0.5163043478260869,0.3858695652173913,0.09782608695652174
All,BWV1004_01_Allemande_reviewed,0.43529411764705883,0.47058823529411764,0.09411764705882353
All,BWV1004_02_Courante_reviewed,0.4857142857142857,0.32857142857142857,0.18571428571428572
All,BWV1005_02_Fuga_reviewed,0.488013698630137,0.386986301369863,0.125
All,BWV1006_04_Menuett_reviewed,0.5306122448979592,0.24489795918367346,0.22448979591836735
All,BWV1006_05_Bourée_reviewed,0.4772727272727273,0.29545454545454547,0.22727272727272727
All,BWV1006_06_Gigue_reviewed,0.6666666666666666,0.11904761904761904,0.21428571428571427
All,BWV1007_01_Prelude_reviewed,0.4772727272727273,0.2727272727272727,0.25
All,BWV1007_02_Allemande_reviewed,0.6724137931034483,0.22413793103448276,0.10344827586206896
All,BWV1007_03_Courante_reviewed,0.6333333333333333,0.13333333333333333,0.23333333333333334
All,BWV1007_04_Sarabande_reviewed,0.53125,0.28125,0.1875
All,BWV1007_05_MenuetI_reviewed,0.5,0.26666666666666666,0.23333333333333334
All,BWV1007_06_MenuetII_reviewed,0.5357142857142857,0.39285714285714285,0.07142857142857142
All,BWV1007_07_Gique_reviewed,0.42857142857142855,0.2653061224489796,0.30612244897959184
All,BWV1008_01_Prelude_reviewed,0.5512820512820513,0.3333333333333333,0.11538461538461539
All,BWV1008_02_Allemande_reviewed,0.532258064516129,0.3225806451612903,0.14516129032258066
All,BWV1008_03_Courante_reviewed,0.5476190476190477,0.2857142857142857,0.16666666666666666
All,BWV1008_04_Sarabande_reviewed,0.46153846153846156,0.358974358974359,0.1794871794871795
All,BWV1008_05_MenuetI_reviewed,0.5428571428571428,0.42857142857142855,0.02857142857142857
All,BWV1008_06_MenuetII_reviewed,0.4782608695652174,0.30434782608695654,0.21739130434782608
All,BWV1008_07_Gique_reviewed,0.42168674698795183,0.42168674698795183,0.1566265060240964
All,BWV1009_01_Prelude_reviewed,0.6708860759493671,0.20253164556962025,0.12658227848101267
All,BWV1009_02_Allemande_reviewed,0.4791666666666667,0.3645833333333333,0.15625
All,BWV1009_03_Courante_reviewed,0.4852941176470588,0.3382352941176471,0.17647058823529413
All,BWV1009_04_Sarabande_reviewed,0.4594594594594595,0.43243243243243246,0.10810810810810811
All,BWV1009_05_BourréeI_reviewed,0.45454545454545453,0.11363636363636363,0.4318181818181818
All,BWV1009_06_BourréeII_reviewed,0.4666666666666667,0.3,0.23333333333333334
All,BWV1009_07_Gique_reviewed,0.5168539325842697,0.33707865168539325,0.14606741573033707
All,BWV1010_01_Prelude_reviewed,0.5357142857142857,0.26785714285714285,0.19642857142857142
All,BWV1010_02_Allemande_reviewed,0.6,0.29411764705882354,0.10588235294117647
All,BWV1010_03_Courante_reviewed,0.6590909090909091,0.22727272727272727,0.11363636363636363
All,BWV1010_04_Sarabande_reviewed,0.6046511627906976,0.3488372093023256,0.046511627906976744
All,BWV1010_05_BourreeI_reviewed,0.4264705882352941,0.27941176470588236,0.29411764705882354
All,BWV1010_06_BourreeII_reviewed,0.6086956521739131,0.21739130434782608,0.17391304347826086
All,BWV1010_07_Gique_reviewed,0.6285714285714286,0.1,0.2714285714285714
All,BWV1011_01_Prelude_reviewed,0.4157706093189964,0.4551971326164875,0.12903225806451613
All,BWV1011_02_Allemande_reviewed,0.5892857142857143,0.26785714285714285,0.14285714285714285
All,BWV1011_03_Courante_reviewed,0.5245901639344263,0.3442622950819672,0.13114754098360656
All,BWV1011_04_Sarabande_reviewed,0.6818181818181818,0.13636363636363635,0.18181818181818182
All,BWV1011_05_GavotteI_reviewed,0.4918032786885246,0.36065573770491804,0.14754098360655737
All,BWV1011_06_GavotteII_reviewed,0.19298245614035087,0.42105263157894735,0.38596491228070173
All,BWV1011_07_Gique_reviewed,0.45901639344262296,0.4262295081967213,0.11475409836065574
All,BWV1012_01_Prelude_reviewed,0.5285714285714286,0.32142857142857145,0.15
All,BWV1012_02_Allemande_reviewed,0.676923076923077,0.2153846153846154,0.1076923076923077
All,BWV1012_03_Courante_reviewed,0.4605263157894737,0.35526315789473684,0.18421052631578946
All,BWV1012_04_Sarabande_reviewed,0.5121951219512195,0.3902439024390244,0.0975609756097561
All,BWV1012_05_GavotteI_reviewed,0.6862745098039216,0.21568627450980393,0.09803921568627451
All,BWV1012_06_GavotteII_reviewed,0.5416666666666666,0.16666666666666666,0.2916666666666667
All,BWV1012_07_Gique_reviewed,0.6712328767123288,0.0958904109589041,0.2328767123287671
All,BWV1013_01_Allemande_reviewed,0.38405797101449274,0.45652173913043476,0.15942028985507245
All,BWV1013_02_Corrente_reviewed,0.6893203883495146,0.20388349514563106,0.10679611650485436
All,BWV1013_03_Sarabande_reviewed,0.5,0.3333333333333333,0.16666666666666666
All,BWV1013_04_BourreeAnglaise_reviewed,0.5866666666666667,0.18666666666666668,0.22666666666666666
All,K279-1_reviewed,0.6071428571428571,0.22448979591836735,0.1683673469387755
All,K279-2_reviewed,0.4322033898305085,0.3305084745762712,0.23728813559322035
All,K279-3_reviewed,0.5,0.3345323741007194,0.16546762589928057
All,K280-1_reviewed,0.5210526315789473,0.28421052631578947,0.19473684210526315
All,K280-2_reviewed,0.42857142857142855,0.4642857142857143,0.10714285714285714
All,K280-3_reviewed,0.36470588235294116,0.4470588235294118,0.18823529411764706
All,K281-1_reviewed,0.5751633986928104,0.23529411764705882,0.1895424836601307
All,K281-2_reviewed,0.4727272727272727,0.3090909090909091,0.21818181818181817
All,K281-3_reviewed,0.5202702702702703,0.32094594594594594,0.15878378378378377
All,K282-1_reviewed,0.44155844155844154,0.37662337662337664,0.18181818181818182
All,K282-2_reviewed,0.46153846153846156,0.27472527472527475,0.26373626373626374
All,K282-3_reviewed,0.4496124031007752,0.2868217054263566,0.26356589147286824
All,K283-1_reviewed,0.44493392070484583,0.42731277533039647,0.1277533039647577
All,K283-2_reviewed,0.36220472440944884,0.3858267716535433,0.25196850393700787
All,K283-3_reviewed,0.4730290456431535,0.35684647302904565,0.17012448132780084
All,K284-1_reviewed,0.42857142857142855,0.4495798319327731,0.12184873949579832
All,K284-2_reviewed,0.48255813953488375,0.20348837209302326,0.313953488372093
All,K284-3_reviewed,0.61,0.25,0.14
All,K309-1_reviewed,0.5258215962441315,0.27230046948356806,0.20187793427230047
All,K309-2_reviewed,0.46808510638297873,0.3670212765957447,0.16489361702127658
All,K309-3_reviewed,0.5361842105263158,0.17105263157894737,0.29276315789473684
All,K310-1_reviewed,0.6337448559670782,0.17695473251028807,0.18930041152263374
All,K310-2_reviewed,0.4748603351955307,0.39106145251396646,0.1340782122905028
All,K310-3_reviewed,0.33962264150943394,0.42857142857142855,0.23180592991913745
All,K311-1_reviewed,0.4860557768924303,0.27091633466135456,0.24302788844621515
All,K311-2_reviewed,0.5497382198952879,0.1518324607329843,0.29842931937172773
All,K311-3_reviewed,0.5739130434782609,0.24347826086956523,0.1826086956521739
All,K330-1_reviewed,0.4433497536945813,0.29064039408866993,0.2660098522167488
All,K330-2_reviewed,0.5426356589147286,0.18604651162790697,0.2713178294573643
All,K330-3_reviewed,0.46215139442231074,0.13545816733067728,0.40239043824701193
All,K331-1_reviewed,0.5034965034965035,0.25524475524475526,0.24125874125874125
All,K331-2_reviewed,0.5423728813559322,0.22033898305084745,0.23728813559322035
All,K331-3_reviewed,0.5754716981132075,0.11320754716981132,0.3113207547169811
All,K332-1_reviewed,0.5474452554744526,0.19708029197080293,0.25547445255474455
All,K332-2_reviewed,0.5867768595041323,0.2066115702479339,0.2066115702479339
All,K332-3_reviewed,0.4602739726027397,0.32054794520547947,0.2191780821917808
All,K333-1_reviewed,0.43333333333333335,0.41944444444444445,0.14722222222222223
All,K333-2_reviewed,0.44785276073619634,0.3312883435582822,0.22085889570552147
All,K333-3_reviewed,0.6059782608695652,0.21467391304347827,0.1793478260869565
All,K457-1_reviewed,0.3495575221238938,0.3584070796460177,0.2920353982300885
All,K457-2_reviewed,0.48125,0.175,0.34375
All,K457-3_reviewed,0.42592592592592593,0.35185185185185186,0.2222222222222222
All,K533-1_reviewed,0.45785876993166286,0.37813211845102507,0.16400911161731208
All,K533-2_reviewed,0.5513513513513514,0.2702702702702703,0.1783783783783784
All,K533-3_reviewed,0.54375,0.221875,0.234375
All,K545-1_reviewed,0.6145833333333334,0.125,0.2604166666666667
All,K545-2_reviewed,0.4690265486725664,0.21238938053097345,0.3185840707964602
All,K545-3_reviewed,0.646551724137931,0.1810344827586207,0.1724137931034483
All,K570-1_reviewed,0.5144230769230769,0.1875,0.2980769230769231
All,K570-2_reviewed,0.582010582010582,0.20634920634920634,0.21164021164021163
All,K570-3_reviewed,0.5285714285714286,0.3,0.17142857142857143
All,K576-1_reviewed,0.40625,0.32142857142857145,0.27232142857142855
All,K576-2_reviewed,0.4392523364485981,0.2897196261682243,0.27102803738317754
All,K576-3_reviewed,0.4766355140186916,0.32398753894080995,0.19937694704049844
