mc,mc_onset,timesig,label,root,mc_onset_numeric,timesig_numeric,root_prog,annotation_dur,prog_weight,bigram_prog_weight,1-gram_progs,1-gram_weight,2-gram_progs,2-gram_weight,3-gram_progs,3-gram_weight,4-gram_progs,4-gram_weight,5-gram_progs,5-gram_weight
1,0,4/4,Eb.I6{,-3.0,0.0,1.0,,1.0,,,,,,,,,,,,
2,0,4/4,IV,-4.0,0.0,1.0,-1.0,0.25,1.25,,"(-1,)",1.25,,,,,,,,
2,1/4,4/4,ii6,-1.0,0.25,1.0,3.0,0.25,0.5,1.75,"(3,)",0.5,"(-1, 3)",1.75,,,,,,
2,1/2,4/4,V,-2.0,0.5,1.0,-1.0,0.5,0.75,1.25,"(-1,)",0.75,"(3, -1)",1.25,"(-1, 3, -1)",2.5,,,,
3,0,4/4,vi,0.0,0.0,1.0,2.0,0.5,1.0,1.75,"(2,)",1.0,"(-1, 2)",1.75,"(3, -1, 2)",2.25,"(-1, 3, -1, 2)",3.5,,
3,1/2,4/4,I6,-3.0,0.5,1.0,-3.0,0.5,1.0,2.0,"(-3,)",1.0,"(2, -3)",2.0,"(-1, 2, -3)",2.75,"(3, -1, 2, -3)",3.25,"(-1, 3, -1, 2, -3)",4.5
4,0,4/4,ii6,-1.0,0.0,1.0,2.0,0.5,1.0,2.0,"(2,)",1.0,"(-3, 2)",2.0,"(2, -3, 2)",3.0,"(-1, 2, -3, 2)",3.75,"(3, -1, 2, -3, 2)",4.25
4,1/2,4/4,V,-2.0,0.5,1.0,-1.0,0.5,1.0,2.0,"(-1,)",1.0,"(2, -1)",2.0,"(-3, 2, -1)",3.0,"(2, -3, 2, -1)",4.0,"(-1, 2, -3, 2, -1)",4.75
5,0,4/4,I|PAC},-3.0,0.0,1.0,-1.0,1.0,1.5,2.5,"(-1,)",1.5,"(-1, -1)",2.5,"(2, -1, -1)",3.5,"(-3, 2, -1, -1)",4.5,"(2, -3, 2, -1, -1)",5.5
6,0,4/4,IV(9),-4.0,0.0,1.0,-1.0,0.25,1.25,2.75,"(-1,)",1.25,"(-1, -1)",2.75,"(-1, -1, -1)",3.75,"(2, -1, -1, -1)",4.75,"(-3, 2, -1, -1, -1)",5.75
6,1/4,4/4,IV,-4.0,0.25,1.0,0.0,0.25,0.5,1.75,"(0,)",0.5,"(-1, 0)",1.75,"(-1, -1, 0)",3.25,"(-1, -1, -1, 0)",4.25,"(2, -1, -1, -1, 0)",5.25
6,1/2,4/4,I6(6),-3.0,0.5,1.0,1.0,0.25,0.5,1.0,"(1,)",0.5,"(0, 1)",1.0,"(-1, 0, 1)",2.25,"(-1, -1, 0, 1)",3.75,"(-1, -1, -1, 0, 1)",4.75
6,3/4,4/4,I6,-3.0,0.75,1.0,0.0,0.25,0.5,1.0,"(0,)",0.5,"(1, 0)",1.0,"(0, 1, 0)",1.5,"(-1, 0, 1, 0)",2.75,"(-1, -1, 0, 1, 0)",4.25
7,0,4/4,viio6,2.0,0.0,1.0,5.0,1.0,1.25,1.75,"(5,)",1.25,"(0, 5)",1.75,"(1, 0, 5)",2.25,"(0, 1, 0, 5)",2.75,"(-1, 0, 1, 0, 5)",4.0
8,0,4/4,V65,-2.0,0.0,1.0,-4.0,0.5,1.5,2.75,"(-4,)",1.5,"(5, -4)",2.75,"(0, 5, -4)",3.25,"(1, 0, 5, -4)",3.75,"(0, 1, 0, 5, -4)",4.25
8,1/2,4/4,I(4),-3.0,0.5,1.0,-1.0,0.25,0.75,2.25,"(-1,)",0.75,"(-4, -1)",2.25,"(5, -4, -1)",3.5,"(0, 5, -4, -1)",4.0,"(1, 0, 5, -4, -1)",4.5
8,3/4,4/4,I,-3.0,0.75,1.0,0.0,0.25,0.5,1.25,"(0,)",0.5,"(-1, 0)",1.25,"(-4, -1, 0)",2.75,"(5, -4, -1, 0)",4.0,"(0, 5, -4, -1, 0)",4.5
9,0,4/4,V|HC},-2.0,0.0,1.0,1.0,0.75,1.0,1.5,"(1,)",1.0,"(0, 1)",1.5,"(-1, 0, 1)",2.25,"(-4, -1, 0, 1)",3.75,"(5, -4, -1, 0, 1)",5.0
9,3/4,4/4,I6{,-3.0,0.75,1.0,-1.0,0.25,1.0,2.0,"(-1,)",1.0,"(1, -1)",2.0,"(0, 1, -1)",2.5,"(-1, 0, 1, -1)",3.25,"(-4, -1, 0, 1, -1)",4.75
10,0,4/4,IV,-4.0,0.0,1.0,-1.0,0.25,0.5,1.5,"(-1,)",0.5,"(-1, -1)",1.5,"(1, -1, -1)",2.5,"(0, 1, -1, -1)",3.0,"(-1, 0, 1, -1, -1)",3.75
10,1/4,4/4,ii6,-1.0,0.25,1.0,3.0,0.25,0.5,1.0,"(3,)",0.5,"(-1, 3)",1.0,"(-1, -1, 3)",2.0,"(1, -1, -1, 3)",3.0,"(0, 1, -1, -1, 3)",3.5
10,1/2,4/4,V,-2.0,0.5,1.0,-1.0,0.5,0.75,1.25,"(-1,)",0.75,"(3, -1)",1.25,"(-1, 3, -1)",1.75,"(-1, -1, 3, -1)",2.75,"(1, -1, -1, 3, -1)",3.75
11,0,4/4,vi,0.0,0.0,1.0,2.0,0.5,1.0,1.75,"(2,)",1.0,"(-1, 2)",1.75,"(3, -1, 2)",2.25,"(-1, 3, -1, 2)",2.75,"(-1, -1, 3, -1, 2)",3.75
11,1/2,4/4,I6,-3.0,0.5,1.0,-3.0,0.5,1.0,2.0,"(-3,)",1.0,"(2, -3)",2.0,"(-1, 2, -3)",2.75,"(3, -1, 2, -3)",3.25,"(-1, 3, -1, 2, -3)",3.75
12,0,4/4,ii6,-1.0,0.0,1.0,2.0,0.5,1.0,2.0,"(2,)",1.0,"(-3, 2)",2.0,"(2, -3, 2)",3.0,"(-1, 2, -3, 2)",3.75,"(3, -1, 2, -3, 2)",4.25
12,1/2,4/4,V,-2.0,0.5,1.0,-1.0,0.5,1.0,2.0,"(-1,)",1.0,"(2, -1)",2.0,"(-3, 2, -1)",3.0,"(2, -3, 2, -1)",4.0,"(-1, 2, -3, 2, -1)",4.75
13,0,4/4,I|PAC},-3.0,0.0,1.0,-1.0,1.0,1.5,2.5,"(-1,)",1.5,"(-1, -1)",2.5,"(2, -1, -1)",3.5,"(-3, 2, -1, -1)",4.5,"(2, -3, 2, -1, -1)",5.5
14,0,4/4,,,0.0,1.0,,,,,,,,,,,,,,
